BP Number,Priority,Description,Network Type(s),Industry Role(s),Keywords,Public Safety and Disaster,Reference,cable,internet/Data,satellite,wireless,wireline,Service Provider,Network Operator,"Priority (1,2,3)",Equipment Supplier,Property Manager,Government,Public Safety
12-10-0436,Highly Important,"Network Operators, Service Providers, and Public Safety should have a process to ensure smooth handling and clear ownership of problems that transition work shifts or organizational boundaries.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety;,Network Operations; Procedures;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE
12-10-0437,Highly Important,"Network Operators and Service Providers should aggregate routes where appropriate (e.g., singly-homed downstream networks) in order to minimize the size of the global routing table taking care to not disrupt engineered circuit diversity.",Internet/Data;,Service Provider; Network Operator;,Cyber Security; Network Operations; Network Provisioning;,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE
12-10-0440,Highly Important,Network Operators and Service Providers should set and periodically review situation-specific limits on numbers of routes imported from peers and customers in order to lessen the impact of misconfigurations.,Internet/Data;,Service Provider; Network Operator;,Industry Cooperation; Network Operations;,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE
12-10-0447,Important,Network Operators and Service Providers should consider establishing a customer advocacy function to take part in the development and scheduling of network change activity in order to minimize impact.,Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator;,Liaison; Network Operations;,FALSE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE
12-10-0448,Highly Important,"Equipment Suppliers should  where feasible, provide a memory management capability to reconfigure or expand memory without impacting stable calls or other critical processes (e.g., billing).",Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier;,Hardware; Network Elements; Network Provisioning; Software;,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
12-10-0449,Critical,"Network Operators, Service Providers and Public Safety should  where feasible, deploy fraudulent traffic (e.g., SPAM) controls in relevant nodes (e.g., message centers, email gateways) in order to protect critical network elements and services.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety;,Cyber Security; Network Operations;,TRUE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE
12-10-0450,Highly Important,"Property Managers should maintain current documentation that ensures that the tower loading is consistent with the engineering design (e.g., antenna loading, feedline loading, ice or wind loading).",Cable; Wireless; Wireline;,Property Manager;,Documentation; Network Provisioning;,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE
12-10-0451,Highly Important,"Property Managers should conduct a periodic physical site audit to update and maintain accurate antenna and tower engineering documentation in order to positively identify every item on the tower structure (e.g., identifying rogue antennas).",Cable; Wireless; Wireline;,Property Manager;,Buildings; Documentation;,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE
12-10-0452,Highly Important,"Network Operators, Service Providers, Property Managers, and Public Safety should post emergency contact number(s) and unique site identification in an externally visible location at unmanned communication facilities (e.g., towers, cell sites, Controlled Environment Vault (CEV), satellite earth stations), but should not reveal additional information about the facility, except when necessary.",Cable; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety; Property Manager;,Buildings; Emergency Preparedness; Network Operations; Physical Security Management;,TRUE,"Examples of site identification may include: Latitude/Longitude, Real Estate ID, FAA number, FCC registration number, ASR (Antenna Structure Registration) data base, cell ID, address, location.  See Best Practice 5120.",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE
12-10-0453,Important,"Network Operators, Service Providers, and Public Safety should prepare for HVAC or cabinet fan failures by ensuring that conventional fans are available to cool heat- sensitive equipment, as appropriate.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Public Safety;,Buildings; Emergency Preparedness; Network Operations;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,TRUE
12-10-0454,Highly Important,"Network Operators, Service Providers, Equipment Suppliers, and Public Safety should consider establishing technical and managerial escalation policies and procedures based on the service impact, restoration progress and duration of the issue.",Cable; Internet/Data; Satellite; Wireless; Wireline;,Service Provider; Network Operator; Equipment Supplier; Public Safety;,Business Continuity; Disaster Recovery; Emergency Preparedness; Network Operations; Policy; Procedures;,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,TRUE
12-10-0455,Highly Important,Equipment Suppliers and Network Operators should consider a program to remove cards or modules from circulation that have a history of failure even if tests indicate “No Trouble Found”.,Cable; Internet/Data; Satellite; Wireless; Wireline;,Network Operator; Equipment Supplier;,Hardware; Network Elements; Procedures;,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,TRUE,FALSE,FALSE,FALSE
12-10-0456,Critical,"Network Operators, Service Providers, and Public Safety should maintain records of pertinent information related to a cell site for its prioritization in disaster recovery and key coverage areas (e.g., emergency services, government agencies, proximity to hospitals).",Wireless;,Service Provider; Network Operator; Public Safety;,Documentation; Emergency Preparedness; Public Safety and Disaster;,TRUE,Note: This Best practice could impact 9-1-1 operations.,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE
12-10-0457,Highly Important,"Network Operators and Service Providers should develop a process to identify Radio Frequency (RF) dead spots and, where feasible, provide a solution to fill the dead spot with RF coverage.",Wireless;,Service Provider; Network Operator;,Procedures;,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE
12-10-0458,Highly Important,Network Operators should verify that calls handoff between cells when a new cell site is added to the network.,Wireless;,Network Operator;,Network Provisioning; Procedures;,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE
12-10-0459,Highly Important,"Equipment Suppliers and Property Managers should design outdoor equipment to operate in expected environmental conditions (e.g., weather, earthquakes).",Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier; Property Manager;,Hardware;,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE
12-10-0461,Highly Important,Equipment Suppliers should provide the capability to test failover routines of redundant network elements.,Cable; Internet/Data; Satellite; Wireless; Wireline;,Equipment Supplier;,Hardware; Network Elements; Software;,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE
12-10-0462,Important,Network Operators should work in conjunction with Government to anticipate Radio Frequency (RF) capacity needs driven by changes in vehicle traffic patterns or other demographics.,Wireless;,Network Operator; Government;,Liaison; Network Provisioning;,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE
